atom-q    BLYP      BP        HCTH120   HCTH407   PADE      PBE       PBESOL    OLYP      
Ac-NONE   x         x         x         x         x         x         x         x         
Th-NONE   x         x         x         x         x         x         x         x         
Pa-NONE   x         x         x         x         x         x         x         x         
U-NONE    x         x         x         x         x         x         x         x         
Np-NONE   x         x         x         x         x         x         x         x         
Pu-NONE   x         x         x         x         x         x         x         x         
Am-NONE   x         x         x         x         x         x         x         x         
Cm-NONE   x         x         x         x         x         x         x         x         
Bk-NONE   x         x         x         x         x         x         x         x         
Cf-NONE   x         x         x         x         x         x         x         x         
Es-NONE   x         x         x         x         x         x         x         x         
Fm-NONE   x         x         x         x         x         x         x         x         
Md-NONE   x         x         x         x         x         x         x         x         
No-NONE   x         x         x         x         x         x         x         x         
Lr-NONE   x         x         x         x         x         x         x         x         
Rf-NONE   x         x         x         x         x         x         x         x         
Db-NONE   x         x         x         x         x         x         x         x         
Sg-NONE   x         x         x         x         x         x         x         x         
Bh-NONE   x         x         x         x         x         x         x         x         
Hs-NONE   x         x         x         x         x         x         x         x         
Mt-NONE   x         x         x         x         x         x         x         x         
Ds-NONE   x         x         x         x         x         x         x         x         
Rg-NONE   x         x         x         x         x         x         x         x         
Cn-NONE   x         x         x         x         x         x         x         x         
Nh-NONE   x         x         x         x         x         x         x         x         
Fl-NONE   x         x         x         x         x         x         x         x         
Mc-NONE   x         x         x         x         x         x         x         x         
Lv-NONE   x         x         x         x         x         x         x         x         
Ts-NONE   x         x         x         x         x         x         x         x         
Og-NONE   x         x         x         x         x         x         x         x         
